Site,Year,month,day,time,Temp,rH,VPD
CH,2011,11,20,300,-5.2,73.5,0.109816076
CH,2011,11,20,600,-4.8,73,0.115348997
CH,2011,11,20,900,-6.4,75,0.09449117
CH,2011,11,20,1200,-8.6,87.7,0.039171994
CH,2011,11,20,1500,-7.1,74,0.093092422
CH,2011,11,20,1800,-9.1,79.4,0.063071085
CH,2011,11,20,2100,-7.6,73,0.092987116
CH,2011,11,21,0,-5.7,64,0.143588577
CH,2011,11,21,300,-4.5,60,0.174824508
CH,2011,11,21,600,-5.8,70.5,0.11676432
CH,2011,11,21,900,-5.9,69,0.12176365
CH,2011,11,21,1200,-8,84,0.053409644
CH,2011,11,21,1500,-9.5,84.9,0.044791873
CH,2011,11,21,1800,-9.1,85,0.045925548
CH,2011,11,21,2100,-7.8,81.2,0.06374457
CH,2011,11,22,0,-6.5,72,0.105016973
CH,2011,11,22,300,-5.9,68.8,0.122549222
CH,2011,11,22,600,-5.4,61.8,0.155901774
CH,2011,11,22,900,-6.1,70.5,0.114105051
CH,2011,11,22,1200,-8.4,83,0.054997287
CH,2011,11,22,1500,-10.6,89,0.029893324
CH,2011,11,22,1800,-10.6,87,0.035328474
CH,2011,11,22,2100,-7.6,64,0.123982822
CH,2011,11,23,0,-5.9,62.8,0.14611638
CH,2011,11,23,300,-5,42.8,0.240678255
CH,2011,11,23,600,-4.4,61,0.171750738
CH,2011,11,23,900,-5.7,71,0.115668576
CH,2011,11,23,1200,-8.2,83,0.055866436
CH,2011,11,23,1500,-8,58.8,0.137529834
CH,2011,11,23,1800,-9,78,0.067891177
CH,2011,11,23,2100,-6.5,74.8,0.094515275
CH,2011,11,24,0,-5.4,61,0.159166733
CH,2011,11,24,300,-4.4,64,0.158539143
CH,2011,11,24,600,-3.2,68,0.154263025
CH,2011,11,24,900,-4.2,81.5,0.082714283
CH,2011,11,24,1200,-6.1,83,0.065755453
CH,2011,11,24,1500,-6.2,76,0.092119835
CH,2011,11,24,1800,-5.6,74.4,0.102892495
CH,2011,11,24,2100,-4.8,76,0.102532442
CH,2011,11,25,0,-4.2,89.8,0.045604632
CH,2011,11,25,300,-4.2,86,0.062594592
CH,2011,11,25,600,-4.5,90.7,0.040646698
CH,2011,11,25,900,-4.4,82,0.079269571
CH,2011,11,25,1200,-5.5,90,0.040501132
CH,2011,11,25,1500,-5.8,91,0.035623013
CH,2011,11,25,1800,-4,45,0.249651868
CH,2011,11,25,2100,-4.2,67.3,0.146203084
CH,2011,11,26,0,-3.7,51.1,0.22704119
CH,2011,11,26,300,-2.8,58,0.208623505
CH,2011,11,26,600,-0.4,34.9,0.386165122
CH,2011,11,26,900,-2.4,57.4,0.218012176
CH,2011,11,26,1200,-6.1,57,0.166322617
CH,2011,11,26,1500,-4.4,50,0.220193254
CH,2011,11,26,1800,-7.5,67,0.114539506
CH,2011,11,26,2100,0.3,32.9,0.418888532
CH,2011,11,27,0,-1.6,47.6,0.284566083
CH,2011,11,27,300,-2.8,64.6,0.175839811
CH,2011,11,27,600,-3.4,63.8,0.171910535
CH,2011,11,27,900,-3,47.7,0.255929424
CH,2011,11,27,1200,-4.5,44,0.244754311
CH,2011,11,27,1500,-2.4,39,0.31217706
CH,2011,11,27,1800,-2.8,38,0.307968031
CH,2011,11,27,2100,-2.2,40,0.311662282
CH,2011,11,28,0,-1.3,46.3,0.298159211
CH,2011,11,28,300,-1.1,40,0.338085204
CH,2011,11,28,600,-0.5,33,0.394536224
CH,2011,11,28,900,-0.8,32,0.391710047
CH,2011,11,28,1200,-0.9,31.2,0.393417203
CH,2011,11,28,1500,-0.8,34.2,0.379037075
CH,2011,11,28,1800,-0.5,34,0.388647623
CH,2011,11,28,2100,0,42.5,0.3511985
CH,2011,11,29,0,0.4,46,0.339568995
CH,2011,11,29,300,0.6,54.6,0.289666779
CH,2011,11,29,600,-0.1,47.4,0.318934449
CH,2011,11,29,900,-1.2,63,0.206955765
CH,2011,11,29,1200,-5.1,89,0.045932974
CH,2011,11,29,1500,-6.1,87,0.050283582
CH,2011,11,29,1800,-5.8,88.1,0.047101539
CH,2011,11,29,2100,-3.8,73.7,0.121193641
CH,2011,11,30,0,-3.6,75,0.116951199
CH,2011,11,30,300,-3.1,75,0.121424581
CH,2011,11,30,600,-3,81.9,0.088572133
CH,2011,11,30,900,-3.3,77,0.110047997
CH,2011,11,30,1200,-3.6,80,0.093560959
CH,2011,11,30,1500,-3.8,83,0.078338095
CH,2011,11,30,1800,-3.2,75.2,0.119553844
CH,2011,11,30,2100,-3,75.5,0.119890457
CH,2011,12,1,0,-2.3,71.4,0.147458394
CH,2011,12,1,100,-2.6,70,0.151258364
CH,2011,12,1,200,-2.5,70,0.152390291
CH,2011,12,1,300,-2.7,67,0.165147265
