Site,Year,January,February,March,April,May,June,July,August,September,October,November,December
Casey,2000,-1.8,-2.7,-8.2,-15.3,-16.1,-15.4,-13.2,-11.5,-9.3,-13.1,-4.2,-1
Casey,2001,-0.2,-4.5,-4.8,-10.8,-11.1,-15.1,-10.1,-16.2,-11,-11.9,-6.4,-2
Casey,2002,0.4,-2.9,-6.1,-8.5,-11.3,-10.7,-12.6,-14,-14,-12.2,-4,-2.1
Casey,2003,-0.1,-2.2,-6.6,-10.2,-17.1,-17.4,-16,-14.2,-13.4,-12.3,-6.1,-1
Casey,2004,-0.7,-1.1,-7.2,-11.1,-14.3,-14.4,-16.6,-12.5,-13.4,-10.5,-6.3,-0.2
Casey,2005,0.7,-2,-7.7,-10.7,-14.9,-13.5,-18.5,-17.4,-12.6,-10.5,-5.6,0.8
Casey,2006,-0.4,-2.5,-5.8,-7.7,-18.4,-15,-12.3,-12.1,-15,-12.6,-7,-1.4
Casey,2007,0.1,-2.1,-5,-8.2,-12.6,-13.5,-10.9,-13.7,-13,-10.2,-4.3,-1.9
Casey,2008,-1.2,-4.1,-8.1,-9.6,-12.3,-13.5,-12.9,-13.4,-14.6,-13,-5.1,-1.3
Casey,2009,-0.8,-1.6,-5.4,-11.5,-11.3,-12.3,-9.3,-14.8,-10.5,-9.3,-5.7,-1.4
Casey,2010,1.3,-3.5,-8,-14.6,-14,-13.1,-15.9,-15.8,-14.1,-11.2,-6,-1.6
Casey,2011,0.8,-3.9,-7,-8.5,-16.5,-17.2,-16.3,-12.3,-13.4,-11,-6.6,-1.2
Casey,2012,-1.5,-2.9,-6.8,-10.7,-13.1,-16.8,-17.5,-15.6,-15.6,-9.9,-5.3,-1.4
Casey,2013,0.1,-3.6,-9.8,-14,-11.5,-13.3,-19.2,-16,-8.2,-11.9,-6.2,-1.2
Casey,2014,0.7,-2.8,-8.9,-13.5,-14.4,-19.3,-15,-20.4,-12.5,-10.8,-3.7,-0.5
Casey,2015,-0.3,-1.5,-6.6,-14,-16.4,-13.2,-18.1,-16.4,-15.5,-13.8,-5.5,-0.8
Casey,2016,-1.2,-3.7,-7.6,-11.8,-10.6,-17.3,-17.1,-12.7,-15.6,-9.6,-3.7,-0.6
Casey,2017,0.3,-1.7,-6.2,-10,-13.3,-19.4,-18,-16.5,-16.2,-13.1,-4.9,-1.2
Casey,2018,-0.5,-2.5,-8.7,-7.3,-14.9,,-11.2,-19.3,-16.9,-10.3,-4.8,-1.2
Casey,2019,-0.3,-2.6,-5.9,-10.7,-15.9,-16.3,-13,-14.7,-16.6,-11.7,-4.8,-0.9
Casey,2020,1.1,-2.7,-8.9,-6.8,-14.8,-15.6,-13.8,-16.9,-12.7,-10.7,-5.4,-2
Casey,2021,-1,-2.6,-7,-14.4,-16.3,-13.2,-15.6,-11.7,-12.7,-7.5,-7.1,-0.5
