Site,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rothera,2000,0.2,0.6,-1,-2.6,-3.5,-5.6,-5.5,-10.7,-11.7,-4.5,-1.4,0.5
Rothera,2001,2.4,1.7,-0.2,-3.3,-1.1,-5.7,-11.9,-8.5,-5.1,-3.4,-1.8,-0.1
Rothera,2002,1.5,1.2,-2.6,-1.6,-10.4,-17.1,-12.1,-12.2,-6.8,-10.2,-2.9,1.2
Rothera,2003,2.4,0.9,-0.5,-2.4,-5.4,-9.5,-6.1,-6.8,-8.1,-6.7,-3.1,-0.9
Rothera,2004,1.5,1,-0.7,-2,-3.7,-7.3,-8.2,-10.6,-10.5,-5.5,-1,0.6
Rothera,2005,0.8,0.4,-2.2,-4,-4.9,-11.6,-10.9,-9.8,-6.5,-3.2,-1,-1.2
Rothera,2006,0.7,1.3,-0.3,-2.2,-3.9,-7.6,-8.6,-13.3,-11.2,-2.6,-2.6,1
Rothera,2007,2,0.7,-1.7,-4,-3.3,-5.9,-11.6,-7.2,-4.6,-5.8,-2.8,0
Rothera,2008,1.7,1,-0.9,-2.5,-2.8,-3.5,-8.1,-10.8,-2,-2.8,-1.3,-0.4
Rothera,2009,1.6,0.9,0.6,-4.8,-3.1,-6.2,-11.7,-8,-7.4,-6,-3.1,0.6
Rothera,2010,1.3,1.4,-1.6,-3.4,-3.7,-3.9,-7.7,-8.3,-4.1,-1.9,-0.8,0.1
Rothera,2011,1.2,1.4,0.1,-4.1,-3.1,-7,-9.9,-8.7,-9.1,-5,-2.2,1
Rothera,2012,0.6,-0.6,-0.9,-2.3,-2.6,-9.6,-7.3,-5.9,-5.5,-6.9,-4,0
Rothera,2013,1.8,1,0.3,-1.6,-4.9,-8.3,-9.5,-9.5,-9.5,-5.8,-4.5,-1.7
Rothera,2014,0.7,-0.7,-2.1,-1.4,-3.4,-5.6,-6.6,-8.6,-6.8,-5.6,-3.9,-0.9
Rothera,2015,0.7,0.3,-1.1,-2,-5.9,-12.3,-14.9,-11.8,-13.4,-3.8,-3.1,-0.6
Rothera,2016,0.2,0.3,-1.2,-5.6,-2.6,-3.1,-10.5,-13.6,-4.6,,-3.2,0.3
Rothera,2017,1,1.4,1.2,-2.7,-2.4,-5.5,-7.9,-6.2,-12.2,-5.3,-1.9,1
Rothera,2018,1.5,1.4,-0.6,-1.8,-4.6,-5.7,-9.3,-10,-8.8,-3.5,-1.3,-0.2
Rothera,2019,0.3,-0.4,-0.5,-2.6,-6.2,-5.7,-8.7,-9.4,-10.2,-5.7,-2.9,0.7
Rothera,2020,2.3,2.3,0,-3,-3,-4.4,-9,-8.7,-8.9,-4.5,-1,-0.4
Rothera,2021,1.1,0.9,-1.2,-3.2,-4,-6,-6.9,-9.3,-4.3,-2.8,-1.3,0.1
